Node 1,Node 2,Title
R_dmThal2_L_dmThal2,L_dmThal2_R_dmThal2,
R_dmThal2_R_Hypo,L_dmThal2_R_Hypo,
R_dmThal2_L_Hypo,L_dmThal2_L_Hypo,
R_dmThal2_R_dlPAG,L_dmThal2_R_dlPAG,
R_dmThal2_R_vAI,L_dmThal2_R_vAI,
R_dmThal2_L_vAI,L_dmThal2_L_vAI,
R_dmThal2_ACC,L_dmThal2_ACC,
R_dmThal2_R_Amy,L_dmThal2_R_Amy,
R_dmThal2_L_Amy,L_dmThal2_L_Amy,
R_Hypo_R_dmThal2,L_Hypo_R_dmThal2,
R_Hypo_L_dmThal2,L_Hypo_L_dmThal2,
R_Hypo_L_Hypo,L_Hypo_R_Hypo,
R_Hypo_R_dlPAG,L_Hypo_R_dlPAG,
R_Hypo_R_vAI,L_Hypo_R_vAI,
R_Hypo_L_vAI,L_Hypo_L_vAI,
R_Hypo_ACC,L_Hypo_ACC,
R_Hypo_R_Amy,L_Hypo_R_Amy,
R_Hypo_L_Amy,L_Hypo_L_Amy,
R_dlPAG_R_dmThal2,,
R_dlPAG_L_dmThal2,,
R_dlPAG_R_Hypo,,
R_dlPAG_L_Hypo,,
R_dlPAG_R_vAI,,
R_dlPAG_L_vAI,,
R_dlPAG_ACC,,
R_dlPAG_R_Amy,,
R_dlPAG_L_Amy,,
R_vAI_R_dmThal2,L_vAI_R_dmThal2,
R_vAI_L_dmThal2,L_vAI_L_dmThal2,
R_vAI_R_Hypo,L_vAI_R_Hypo,
R_vAI_L_Hypo,L_vAI_L_Hypo,
R_vAI_R_dlPAG,L_vAI_R_dlPAG,
R_vAI_L_vAI,L_vAI_R_vAI,
R_vAI_ACC,L_vAI_ACC,
R_vAI_R_Amy,L_vAI_R_Amy,
R_vAI_L_Amy,L_vAI_L_Amy,
ACC_R_dmThal2,,
ACC_L_dmThal2,,
ACC_R_Hypo,,
ACC_L_Hypo,,
ACC_R_dlPAG,,
ACC_R_vAI,,
ACC_L_vAI,,
ACC_R_Amy,,
ACC_L_Amy,,
R_Amy_R_dmThal2,L_Amy_R_dmThal2,
R_Amy_L_dmThal2,L_Amy_L_dmThal2,
R_Amy_R_Hypo,L_Amy_R_Hypo,
R_Amy_L_Hypo,L_Amy_L_Hypo,
R_Amy_R_dlPAG,L_Amy_R_dlPAG,
R_Amy_R_vAI,L_Amy_R_vAI,
R_Amy_L_vAI,L_Amy_L_vAI,
R_Amy_ACC,L_Amy_ACC,
R_Amy_L_Amy,L_Amy_R_Amy,
